,0,1
0,등록,1981
1,동물,1712
2,제,1108
3,반려동물,806
4,등,423
5,위해,380
6,반려견,313
7,유기,311
8,유실,269
9,개,220
10,시행,215
11,신고,215
12,반려,197
13,시,193
14,의무,189
15,운영,185
16,방지,173
17,수,172
18,제도,170
19,유기동물,169
20,및,168
21,자진,168
22,보호,160
23,기간,158
24,정보,145
25,것,144
26,활성화,136
27,지원,136
28,제로,125
29,위,123
30,주택,121
31,허가,121
32,이,120
33,동물보호법,117
34,대상,115
35,발생,112
36,내장,111
37,사업,110
38,있다,109
39,이상,108
40,비용,107
41,소유자,106
42,대한,106
43,지난,105
44,동물원,104
45,개월,103
46,마리,102
47,보험,101
48,고양이,99
49,관련,88
50,홍보,88
51,영업,88
52,있는,85
53,동물보호,85
54,월령,84
55,도입,84
56,군,83
57,후보,82
58,펫,79
59,추진,77
60,예방,77
61,현재,76
62,목적,74
63,입양,74
64,판매업,73
65,전국,72
66,변경,70
67,강화,69
68,수입,69
69,경우,68
