"시점","행정구역별(1)","동물치료기관별(1)",데이터
"2008","전국","계",239
"2008","전국","동물병원",227
"2008","전국","관리단체 또는 축산관련 기관",9
"2008","전국","야생동물 구조센터",3
"2008","서울","계",27
"2008","서울","동물병원",26
"2008","서울","관리단체 또는 축산관련 기관",0
"2008","서울","야생동물 구조센터",1
"2008","부산","계",14
"2008","부산","동물병원",13
"2008","부산","관리단체 또는 축산관련 기관",0
"2008","부산","야생동물 구조센터",1
"2008","대구","계",10
"2008","대구","동물병원",10
"2008","대구","관리단체 또는 축산관련 기관",0
"2008","대구","야생동물 구조센터",0
"2008","인천","계",6
"2008","인천","동물병원",6
"2008","인천","관리단체 또는 축산관련 기관",0
"2008","인천","야생동물 구조센터",0
"2008","광주","계",5
"2008","광주","동물병원",5
"2008","광주","관리단체 또는 축산관련 기관",0
"2008","광주","야생동물 구조센터",0
"2008","대전","계",6
"2008","대전","동물병원",6
"2008","대전","관리단체 또는 축산관련 기관",0
"2008","대전","야생동물 구조센터",0
"2008","울산","계",5
"2008","울산","동물병원",5
"2008","울산","관리단체 또는 축산관련 기관",0
"2008","울산","야생동물 구조센터",0
"2008","경기","계",31
"2008","경기","동물병원",31
"2008","경기","관리단체 또는 축산관련 기관",0
"2008","경기","야생동물 구조센터",0
"2008","강원","계",17
"2008","강원","동물병원",11
"2008","강원","관리단체 또는 축산관련 기관",5
"2008","강원","야생동물 구조센터",1
"2008","충북","계",10
"2008","충북","동물병원",7
"2008","충북","관리단체 또는 축산관련 기관",3
"2008","충북","야생동물 구조센터",0
"2008","충남","계",16
"2008","충남","동물병원",15
"2008","충남","관리단체 또는 축산관련 기관",1
"2008","충남","야생동물 구조센터",0
"2008","전북","계",20
"2008","전북","동물병원",20
"2008","전북","관리단체 또는 축산관련 기관",0
"2008","전북","야생동물 구조센터",0
"2008","전남","계",17
"2008","전남","동물병원",17
"2008","전남","관리단체 또는 축산관련 기관",0
"2008","전남","야생동물 구조센터",0
"2008","경북","계",34
"2008","경북","동물병원",34
"2008","경북","관리단체 또는 축산관련 기관",0
"2008","경북","야생동물 구조센터",0
"2008","경남","계",18
"2008","경남","동물병원",18
"2008","경남","관리단체 또는 축산관련 기관",0
"2008","경남","야생동물 구조센터",0
"2008","제주","계",3
"2008","제주","동물병원",3
"2008","제주","관리단체 또는 축산관련 기관",0
"2008","제주","야생동물 구조센터",0
"2009","전국","계",238
"2009","전국","동물병원",225
"2009","전국","관리단체 또는 축산관련 기관",10
"2009","전국","야생동물 구조센터",3
"2009","서울","계",27
"2009","서울","동물병원",26
"2009","서울","관리단체 또는 축산관련 기관",0
"2009","서울","야생동물 구조센터",1
"2009","부산","계",14
"2009","부산","동물병원",14
"2009","부산","관리단체 또는 축산관련 기관",0
"2009","부산","야생동물 구조센터",0
"2009","대구","계",10
"2009","대구","동물병원",10
"2009","대구","관리단체 또는 축산관련 기관",0
"2009","대구","야생동물 구조센터",0
"2009","인천","계",6
"2009","인천","동물병원",6
"2009","인천","관리단체 또는 축산관련 기관",0
"2009","인천","야생동물 구조센터",0
"2009","광주","계",5
"2009","광주","동물병원",5
"2009","광주","관리단체 또는 축산관련 기관",0
"2009","광주","야생동물 구조센터",0
"2009","대전","계",6
"2009","대전","동물병원",6
"2009","대전","관리단체 또는 축산관련 기관",0
"2009","대전","야생동물 구조센터",0
"2009","울산","계",5
"2009","울산","동물병원",5
"2009","울산","관리단체 또는 축산관련 기관",0
"2009","울산","야생동물 구조센터",0
"2009","경기","계",28
"2009","경기","동물병원",27
"2009","경기","관리단체 또는 축산관련 기관",1
"2009","경기","야생동물 구조센터",0
"2009","강원","계",18
"2009","강원","동물병원",12
"2009","강원","관리단체 또는 축산관련 기관",5
"2009","강원","야생동물 구조센터",1
"2009","충북","계",10
"2009","충북","동물병원",7
"2009","충북","관리단체 또는 축산관련 기관",3
"2009","충북","야생동물 구조센터",0
"2009","충남","계",16
"2009","충남","동물병원",15
"2009","충남","관리단체 또는 축산관련 기관",1
"2009","충남","야생동물 구조센터",0
"2009","전북","계",21
"2009","전북","동물병원",21
"2009","전북","관리단체 또는 축산관련 기관",0
"2009","전북","야생동물 구조센터",0
"2009","전남","계",17
"2009","전남","동물병원",17
"2009","전남","관리단체 또는 축산관련 기관",0
"2009","전남","야생동물 구조센터",0
"2009","경북","계",34
"2009","경북","동물병원",33
"2009","경북","관리단체 또는 축산관련 기관",0
"2009","경북","야생동물 구조센터",1
"2009","경남","계",18
"2009","경남","동물병원",18
"2009","경남","관리단체 또는 축산관련 기관",0
"2009","경남","야생동물 구조센터",0
"2009","제주","계",3
"2009","제주","동물병원",3
"2009","제주","관리단체 또는 축산관련 기관",0
"2009","제주","야생동물 구조센터",0
"2010","전국","계",245
"2010","전국","동물병원",228
"2010","전국","관리단체 또는 축산관련 기관",10
