기준년월,광역지자체,티맵카테고리중분류명,광역지자체 검색건수,광역지자체 전년도 검색건수
201801,전국,전체,13393248,0
201801,전국,자연관광,849410,0
201801,전국,역사관광,456574,0
201801,전국,체험관광,141318,0
201801,전국,문화관광,2067208,0
201801,전국,레저스포츠,562910,0
201801,전국,쇼핑,1808986,0
201801,전국,음식,5006596,0
201801,전국,숙박,1703093,0
201801,전국,기타관광,797153,0
201802,전국,전체,11671825,0
201802,전국,자연관광,727323,0
201802,전국,역사관광,447454,0
201802,전국,체험관광,127625,0
201802,전국,문화관광,1743474,0
201802,전국,레저스포츠,568219,0
201802,전국,쇼핑,1744905,0
201802,전국,음식,4171028,0
201802,전국,숙박,1446284,0
201802,전국,기타관광,695513,0
201803,전국,전체,14710120,0
201803,전국,자연관광,1026082,0
201803,전국,역사관광,579576,0
201803,전국,체험관광,128440,0
201803,전국,문화관광,2343470,0
201803,전국,레저스포츠,924559,0
201803,전국,쇼핑,2009391,0
201803,전국,음식,5293470,0
201803,전국,숙박,1565467,0
201803,전국,기타관광,839665,0
201804,전국,전체,16594465,0
201804,전국,자연관광,1249696,0
201804,전국,역사관광,744733,0
201804,전국,체험관광,128628,0
201804,전국,문화관광,2867472,0
201804,전국,레저스포츠,1169864,0
201804,전국,쇼핑,1931293,0
201804,전국,음식,5683544,0
201804,전국,숙박,1829889,0
201804,전국,기타관광,989346,0
201805,전국,전체,19606537,0
201805,전국,자연관광,1598718,0
201805,전국,역사관광,935680,0
201805,전국,체험관광,158946,0
201805,전국,문화관광,3359922,0
201805,전국,레저스포츠,1363690,0
201805,전국,쇼핑,2143232,0
201805,전국,음식,6675259,0
201805,전국,숙박,2204840,0
201805,전국,기타관광,1166250,0
201806,전국,전체,17928763,0
201806,전국,자연관광,1527310,0
201806,전국,역사관광,637762,0
201806,전국,체험관광,136585,0
201806,전국,문화관광,2867163,0
201806,전국,레저스포츠,1358666,0
201806,전국,쇼핑,1976372,0
201806,전국,음식,6243652,0
201806,전국,숙박,2162856,0
201806,전국,기타관광,1018397,0
201807,전국,전체,19676632,0
201807,전국,자연관광,1855437,0
201807,전국,역사관광,593049,0
201807,전국,체험관광,141476,0
201807,전국,문화관광,2877510,0
201807,전국,레저스포츠,1214775,0
201807,전국,쇼핑,2089001,0
201807,전국,음식,7300400,0
201807,전국,숙박,2651103,0
201807,전국,기타관광,953881,0
201808,전국,전체,23107597,0
201808,전국,자연관광,2432719,0
201808,전국,역사관광,735173,0
201808,전국,체험관광,177133,0
201808,전국,문화관광,3606361,0
201808,전국,레저스포츠,1207741,0
201808,전국,쇼핑,2278192,0
201808,전국,음식,8188023,0
201808,전국,숙박,3303558,0
201808,전국,기타관광,1178697,0
201809,전국,전체,19470336,0
201809,전국,자연관광,1649164,0
201809,전국,역사관광,838166,0
201809,전국,체험관광,167012,0
201809,전국,문화관광,3223697,0
201809,전국,레저스포츠,1329147,0
201809,전국,쇼핑,2385653,0
201809,전국,음식,6579793,0
201809,전국,숙박,2178020,0
201809,전국,기타관광,1119684,0
201810,전국,전체,20731058,0
201810,전국,자연관광,1662486,0
201810,전국,역사관광,980775,0
201810,전국,체험관광,175148,0
201810,전국,문화관광,3623857,0
201810,전국,레저스포츠,1447105,0
201810,전국,쇼핑,2394896,0
201810,전국,음식,6815101,0
201810,전국,숙박,2382917,0
201810,전국,기타관광,1248773,0
201811,전국,전체,17690231,0
201811,전국,자연관광,1195717,0
201811,전국,역사관광,761222,0
201811,전국,체험관광,131110,0
201811,전국,문화관광,2682467,0
201811,전국,레저스포츠,1184482,0
201811,전국,쇼핑,2281012,0
201811,전국,음식,6300875,0
201811,전국,숙박,2147473,0
201811,전국,기타관광,1005873,0
201812,전국,전체,18725473,0
201812,전국,자연관광,977348,0
201812,전국,역사관광,553587,0
201812,전국,체험관광,172215,0
201812,전국,문화관광,2634121,0
201812,전국,레저스포츠,733593,0
201812,전국,쇼핑,2641111,0
201812,전국,음식,7650109,0
201812,전국,숙박,2403585,0
201812,전국,기타관광,959804,0
