기준년월,광역지자체,티맵카테고리중분류명,광역지자체 검색건수,광역지자체 전년도 검색건수
202001,전국,전체,23709736,16985245
202001,전국,자연관광,1341723,1011168
202001,전국,역사관광,809555,566766
202001,전국,체험관광,215990,166587
202001,전국,문화관광,3084039,2474003
202001,전국,레저스포츠,946839,702352
202001,전국,쇼핑,3230566,2313145
202001,전국,음식,9856450,6725645
202001,전국,숙박,2841689,2029709
202001,전국,기타관광,1382885,995870
202002,전국,전체,17335800,17184796
202002,전국,자연관광,1031035,1049831
202002,전국,역사관광,538883,666450
202002,전국,체험관광,94380,170852
202002,전국,문화관광,1936328,2565015
202002,전국,레저스포츠,896480,749389
202002,전국,쇼핑,2296365,2371790
202002,전국,음식,7681576,6591557
202002,전국,숙박,1994442,2012443
202002,전국,기타관광,866311,1007469
202003,전국,전체,18770934,20498195
202003,전국,자연관광,1665101,1303213
202003,전국,역사관광,701699,800546
202003,전국,체험관광,91282,163393
202003,전국,문화관광,2353186,3174322
202003,전국,레저스포츠,1264575,1192232
202003,전국,쇼핑,2438193,2669511
202003,전국,음식,7791332,7882031
202003,전국,숙박,1596986,2151583
202003,전국,기타관광,868580,1161364
202004,전국,전체,23350444,20859065
202004,전국,자연관광,2006496,1391790
202004,전국,역사관광,944824,901229
202004,전국,체험관광,108076,136985
202004,전국,문화관광,2698562,3660922
202004,전국,레저스포츠,1704451,1415748
202004,전국,쇼핑,3018932,2388337
202004,전국,음식,9742627,7478430
202004,전국,숙박,2163004,2252653
202004,전국,기타관광,963472,1232971
202005,전국,전체,30486198,24294924
202005,전국,자연관광,2572177,1778403
202005,전국,역사관광,1143354,1075232
202005,전국,체험관광,157229,161749
202005,전국,문화관광,3444605,4086903
202005,전국,레저스포츠,2015620,1655914
202005,전국,쇼핑,3702411,2701700
202005,전국,음식,13043481,8750666
202005,전국,숙박,3086894,2677425
202005,전국,기타관광,1320427,1406932
202006,전국,전체,28109876,24144832
202006,전국,자연관광,2297406,1784465
202006,전국,역사관광,858272,844087
202006,전국,체험관광,129224,163071
202006,전국,문화관광,2966788,3929060
202006,전국,레저스포츠,2031731,1647924
202006,전국,쇼핑,3278757,2634812
202006,전국,음식,12163017,8884948
202006,전국,숙박,3243185,2910294
202006,전국,기타관광,1141496,1346171
202007,전국,전체,30980523,24889645
202007,전국,자연관광,2545003,1909427
202007,전국,역사관광,898396,757181
202007,전국,체험관광,137723,160719
202007,전국,문화관광,3294678,3578634
202007,전국,레저스포츠,2022133,1546419
202007,전국,쇼핑,3426688,2690598
202007,전국,음식,13526619,9666258
202007,전국,숙박,3899727,3295222
202007,전국,기타관광,1229556,1285187
202008,전국,전체,34560899,33325305
202008,전국,자연관광,3391911,3203103
202008,전국,역사관광,1106147,1089761
202008,전국,체험관광,159433,240548
202008,전국,문화관광,3525508,4857701
202008,전국,레저스포츠,1992022,1820521
202008,전국,쇼핑,3588907,3259264
202008,전국,음식,14095067,12385482
202008,전국,숙박,5118437,4734605
202008,전국,기타관광,1583467,1734320
202009,전국,전체,25841585,24059866
202009,전국,자연관광,2328123,1654302
202009,전국,역사관광,915266,889710
202009,전국,체험관광,103573,169265
202009,전국,문화관광,2914800,3565294
202009,전국,레저스포츠,1944391,1518434
202009,전국,쇼핑,3429201,3098302
202009,전국,음식,10100925,9109098
202009,전국,숙박,2954089,2728723
202009,전국,기타관광,1151217,1326738
202010,전국,전체,36295979,29867280
202010,전국,자연관광,3267233,2116358
202010,전국,역사관광,1617891,1281412
202010,전국,체험관광,198898,200706
202010,전국,문화관광,4671084,4926615
202010,전국,레저스포츠,2431582,1935142
202010,전국,쇼핑,4345674,3363968
202010,전국,음식,13639821,10709462
202010,전국,숙박,4205932,3534109
202010,전국,기타관광,1917864,1799508
202011,전국,전체,26081386,26527008
202011,전국,자연관광,1833163,1649944
202011,전국,역사관광,1072755,1085824
202011,전국,체험관광,117242,174322
202011,전국,문화관광,3023954,3687949
202011,전국,레저스포츠,1779253,1627027
202011,전국,쇼핑,3497731,3340465
202011,전국,음식,10220642,10188755
202011,전국,숙박,3232774,3262636
202011,전국,기타관광,1303872,1510086
202012,전국,전체,20611222,26424225
202012,전국,자연관광,1585320,1250489
202012,전국,역사관광,699028,726386
202012,전국,체험관광,83858,202643
202012,전국,문화관광,2160687,3374352
202012,전국,레저스포츠,1063330,1028735
202012,전국,쇼핑,3316920,3490860
202012,전국,음식,8043950,11667083
202012,전국,숙박,2695128,3349041
202012,전국,기타관광,963001,1334636
