순위,시도명,관광지명,주소,중분류,소분류,검색건수
1,경기도,스타필드하남,경기 하남시 미사대로 750-0,쇼핑,쇼핑몰,1337321
2,경기도,스타필드고양,경기 고양시 덕양구 고양대로 1955-0,쇼핑,쇼핑몰,999151
3,경기도,에버랜드,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원,871570
4,강원도,속초관광수산시장,강원 속초시 중앙로147번길 16-0,쇼핑,시장,770302
5,경기도,현대프리미엄아울렛김포점,경기 김포시 아라육로152번길 100-0,쇼핑,쇼핑몰,769836
6,경기도,현대프리미엄아울렛스페이스원,경기 남양주시 다산순환로 50-0,쇼핑,쇼핑몰,659265
7,경기도,이케아고양점,경기 고양시 덕양구 권율대로 420-0,쇼핑,쇼핑몰,640517
8,경기도,신세계프리미엄아울렛여주점(EAST),경기 여주시 명품로 360-0,쇼핑,쇼핑몰,615926
9,서울특별시,가락동농수산물도매시장,서울 송파구 양재대로 932-0,쇼핑,시장,577831
10,경기도,신세계프리미엄아울렛파주점,경기 파주시 필승로 200-0,쇼핑,쇼핑몰,568054
11,서울특별시,코엑스,서울 강남구 영동대로 513-0,문화관광,전시시설,553313
12,경기도,이케아광명점,경기 광명시 일직로 17-0,쇼핑,쇼핑몰,552917
13,인천광역시,현대프리미엄아울렛송도점,인천 연수구 송도국제대로 123-0,쇼핑,쇼핑몰,539686
14,경기도,롯데프리미엄아울렛기흥점,경기 용인시 기흥구 신고매로 124-0,쇼핑,쇼핑몰,520594
15,서울특별시,타임스퀘어,서울 영등포구 영중로 15-0,쇼핑,쇼핑몰,500933
16,경기도,신세계프리미엄아울렛시흥점,경기 시흥시 서해안로 699-0,쇼핑,쇼핑몰,484764
17,경기도,스타필드안성,경기 안성시 서동대로 3930-39,쇼핑,쇼핑몰,480690
18,인천광역시,월미도,인천 중구,자연관광,자연경관(하천/해양),462590
19,경기도,롯데프리미엄아울렛타임빌라스,경기 의왕시 바라산로 1-0,쇼핑,쇼핑몰,453808
