카테고리: 모든 카테고리

주,코엑스: (대한민국),삽교호: (대한민국),전주한옥마을: (대한민국),예술의전당: (대한민국),킨텍스: (대한민국)
2018-01-07,44,0,12,20,12
2018-01-14,48,1,9,27,18
2018-01-21,48,1,9,19,19
2018-01-28,51,1,8,26,13
2018-02-04,45,2,8,19,13
2018-02-11,47,1,11,20,16
2018-02-18,40,2,5,16,21
2018-02-25,52,2,11,34,14
2018-03-04,52,1,5,20,23
2018-03-11,47,1,7,23,22
2018-03-18,52,0,11,18,21
2018-03-25,47,2,13,16,19
2018-04-01,49,1,6,31,16
2018-04-08,68,1,9,24,15
2018-04-15,61,1,9,24,24
2018-04-22,68,0,8,78,17
2018-04-29,67,1,14,21,32
2018-05-06,56,0,13,23,33
2018-05-13,54,1,14,24,13
2018-05-20,51,1,13,25,8
2018-05-27,48,0,13,27,14
2018-06-03,55,1,7,34,14
2018-06-10,52,0,10,21,16
2018-06-17,67,1,5,24,17
2018-06-24,57,0,7,29,18
2018-07-01,67,0,5,24,12
2018-07-08,76,0,7,23,23
2018-07-15,69,2,6,23,18
2018-07-22,96,1,9,29,12
2018-07-29,100,0,10,36,23
2018-08-05,81,1,8,26,20
2018-08-12,75,2,14,30,21
2018-08-19,46,0,10,30,17
2018-08-26,47,2,7,30,19
2018-09-02,53,1,6,20,16
2018-09-09,52,2,11,22,22
2018-09-16,69,0,7,27,11
2018-09-23,45,1,10,18,14
2018-09-30,39,1,8,21,26
2018-10-07,55,2,9,34,21
2018-10-14,44,1,12,30,25
2018-10-21,55,1,9,24,21
2018-10-28,67,1,8,21,27
2018-11-04,63,1,8,14,26
2018-11-11,61,2,8,30,20
2018-11-18,52,1,7,21,12
2018-11-25,65,1,13,18,19
2018-12-02,53,1,5,27,14
2018-12-09,67,1,10,34,15
2018-12-16,78,0,9,42,15
2018-12-23,80,0,9,28,13
2018-12-30,62,1,6,22,13
2019-01-06,60,1,10,22,12
2019-01-13,59,1,6,28,11
2019-01-20,44,0,11,31,18
2019-01-27,43,1,9,20,7
2019-02-03,55,2,11,27,19
2019-02-10,54,0,5,30,17
2019-02-17,43,0,11,26,30
2019-02-24,54,1,17,34,17
2019-03-03,42,2,4,22,18
2019-03-10,47,1,7,25,22
2019-03-17,45,1,9,29,15
2019-03-24,60,1,6,23,28
2019-03-31,54,2,8,25,26
2019-04-07,39,0,10,16,15
2019-04-14,54,1,9,25,27
2019-04-21,67,1,11,22,22
2019-04-28,72,0,9,23,23
2019-05-05,52,1,7,18,32
2019-05-12,50,1,7,27,16
2019-05-19,64,1,10,23,17
2019-05-26,58,1,13,20,12
2019-06-02,54,1,10,24,18
2019-06-09,60,2,4,27,15
2019-06-16,65,2,9,24,18
2019-06-23,60,0,5,40,19
2019-06-30,74,1,7,31,16
2019-07-07,78,1,10,27,17
2019-07-14,80,0,9,27,20
2019-07-21,94,1,5,26,10
2019-07-28,86,0,9,32,20
2019-08-04,80,0,8,30,15
2019-08-11,75,2,7,27,14
2019-08-18,58,0,8,23,24
2019-08-25,47,1,8,21,25
2019-09-01,50,1,5,30,15
2019-09-08,40,2,8,19,14
2019-09-15,40,3,7,21,11
2019-09-22,59,2,3,25,22
2019-09-29,58,3,8,38,25
2019-10-06,56,0,12,21,26
2019-10-13,52,1,14,22,20
2019-10-20,72,2,9,22,25
2019-10-27,53,1,11,28,19
2019-11-03,71,2,11,23,29
2019-11-10,49,0,5,32,16
2019-11-17,68,1,6,25,17
2019-11-24,57,0,7,28,20
2019-12-01,66,0,7,25,15
2019-12-08,62,1,5,31,23
2019-12-15,87,0,6,33,14
2019-12-22,80,2,10,27,19
2019-12-29,68,0,7,26,15
2020-01-05,48,1,3,18,8
2020-01-12,56,1,5,18,16
2020-01-19,57,0,5,26,14
2020-01-26,35,1,10,26,13
2020-02-02,26,<1,4,27,10
2020-02-09,36,0,7,20,6
2020-02-16,37,0,6,16,11
2020-02-23,22,<1,1,12,8
2020-03-01,17,2,2,13,5
2020-03-08,23,0,1,4,8
2020-03-15,23,2,3,11,8
2020-03-22,17,0,3,10,7
2020-03-29,12,0,4,11,6
2020-04-05,20,<1,3,9,10
2020-04-12,17,1,4,7,6
2020-04-19,18,1,5,11,5
2020-04-26,21,1,9,15,9
2020-05-03,27,1,4,14,8
2020-05-10,17,2,2,14,9
2020-05-17,28,2,5,11,8
2020-05-24,32,1,3,11,9
2020-05-31,33,<1,4,13,17
2020-06-07,33,1,6,17,9
2020-06-14,30,<1,4,9,10
2020-06-21,37,<1,7,13,8
2020-06-28,47,2,4,13,14
2020-07-05,36,1,5,16,13
2020-07-12,41,1,5,17,11
2020-07-19,41,<1,3,13,12
2020-07-26,45,2,8,18,13
2020-08-02,50,<1,10,22,9
2020-08-09,48,0,6,21,13
2020-08-16,31,0,5,20,15
2020-08-23,22,0,2,11,9
2020-08-30,14,1,4,8,7
2020-09-06,18,2,3,8,8
2020-09-13,28,1,3,12,8
2020-09-20,20,1,3,9,17
2020-09-27,30,2,6,12,9
2020-10-04,24,3,7,12,8
2020-10-11,24,1,4,8,6
2020-10-18,24,1,6,28,9
2020-10-25,31,<1,7,23,14
2020-11-01,35,1,3,22,12
2020-11-08,35,1,4,29,17
2020-11-15,31,1,3,15,16
