카테고리: 모든 카테고리

주,속초중앙시장: (대한민국),가락시장: (대한민국),노량진수산시장: (대한민국),동문시장: (대한민국),올레시장: (대한민국)
2018-01-07,1,87,13,6,6
2018-01-14,1,46,7,7,3
2018-01-21,1,66,17,11,6
2018-01-28,1,68,11,14,3
2018-02-04,5,84,15,5,8
2018-02-11,2,63,26,9,3
2018-02-18,3,79,8,3,3
2018-02-25,6,60,14,9,5
2018-03-04,3,47,11,8,5
2018-03-11,3,56,8,6,3
2018-03-18,1,58,14,6,6
2018-03-25,6,52,14,8,6
2018-04-01,3,48,13,6,1
2018-04-08,3,74,17,2,4
2018-04-15,3,70,14,8,6
2018-04-22,0,54,18,9,6
2018-04-29,3,53,15,6,3
2018-05-06,6,61,10,9,9
2018-05-13,4,61,13,4,7
2018-05-20,6,63,18,6,1
2018-05-27,3,73,10,15,6
2018-06-03,1,91,11,6,4
2018-06-10,6,67,14,9,4
2018-06-17,9,66,5,9,9
2018-06-24,6,65,9,6,6
2018-07-01,3,73,12,7,6
2018-07-08,10,65,10,6,4
2018-07-15,3,58,17,11,5
2018-07-22,3,76,13,7,3
2018-07-29,1,67,22,15,1
2018-08-05,6,76,9,10,7
2018-08-12,9,100,12,12,6
2018-08-19,4,48,9,6,6
2018-08-26,1,44,7,7,6
2018-09-02,4,75,24,3,7
2018-09-09,0,62,15,7,6
2018-09-16,0,69,17,9,6
2018-09-23,2,73,15,10,5
2018-09-30,0,66,21,3,4
2018-10-07,3,73,17,5,2
2018-10-14,3,58,14,6,3
2018-10-21,0,77,29,5,2
2018-10-28,3,93,22,5,3
2018-11-04,6,82,65,11,9
2018-11-11,0,68,14,6,3
2018-11-18,0,85,11,9,3
2018-11-25,1,69,15,5,1
2018-12-02,3,67,11,9,4
2018-12-09,3,65,22,8,2
2018-12-16,3,83,23,6,2
2018-12-23,5,83,25,12,11
2018-12-30,5,57,13,8,11
2019-01-06,2,71,11,14,8
2019-01-13,7,67,20,9,11
2019-01-20,3,63,9,14,3
2019-01-27,6,73,9,8,6
2019-02-03,5,46,30,7,3
2019-02-10,4,68,15,10,6
2019-02-17,0,61,13,9,6
2019-02-24,8,51,12,20,2
2019-03-03,0,48,8,12,2
2019-03-10,3,64,13,9,10
2019-03-17,6,88,15,6,4
2019-03-24,1,60,15,7,7
2019-03-31,1,70,15,16,4
2019-04-07,6,59,21,3,4
