카테고리: 모든 카테고리

주,월미도: (대한민국),을왕리 해수욕장: (대한민국),대천해수욕장: (대한민국),속초해변: (대한민국),궁평항: (대한민국)
2018-01-07,18,7,2,2,5
2018-01-14,9,2,5,2,5
2018-01-21,15,2,6,0,2
2018-01-28,17,4,2,0,7
2018-02-04,17,0,2,0,0
2018-02-11,15,2,10,2,6
2018-02-18,19,0,4,0,4
2018-02-25,9,2,0,0,4
2018-03-04,10,4,4,0,4
2018-03-11,17,0,8,2,4
2018-03-18,17,0,8,0,6
2018-03-25,22,4,13,0,2
2018-04-01,16,2,0,2,5
2018-04-08,9,0,9,4,4
2018-04-15,23,2,11,0,8
2018-04-22,24,7,11,0,7
2018-04-29,24,6,9,0,9
2018-05-06,27,5,4,0,9
2018-05-13,20,4,14,5,5
2018-05-20,16,2,18,0,13
2018-05-27,29,2,9,0,9
2018-06-03,31,9,15,0,11
2018-06-10,30,9,21,2,9
2018-06-17,18,9,22,0,26
2018-06-24,39,11,7,2,6
2018-07-01,22,2,18,7,7
2018-07-08,20,7,33,2,11
2018-07-15,28,9,39,0,8
2018-07-22,13,20,36,0,4
2018-07-29,50,27,38,4,5
2018-08-05,42,10,24,2,3
2018-08-12,16,4,32,9,9
2018-08-19,14,5,11,2,9
2018-08-26,23,4,12,0,7
2018-09-02,23,2,4,0,11
2018-09-09,21,4,11,2,12
2018-09-16,15,4,4,0,11
2018-09-23,28,4,14,0,14
2018-09-30,15,4,9,0,13
2018-10-07,17,2,10,2,12
2018-10-14,32,0,11,0,13
2018-10-21,15,2,11,0,9
2018-10-28,11,2,11,2,6
2018-11-04,17,2,4,0,13
2018-11-11,26,4,4,2,4
2018-11-18,17,0,6,0,4
2018-11-25,18,0,11,2,4
2018-12-02,13,2,11,0,0
2018-12-09,15,0,8,4,6
2018-12-16,13,0,6,2,2
2018-12-23,34,4,10,0,4
2018-12-30,20,6,6,2,22
2019-01-06,11,4,4,0,4
2019-01-13,26,4,9,0,6
2019-01-20,21,6,4,4,6
2019-01-27,8,0,9,0,2
2019-02-03,20,0,10,4,8
2019-02-10,14,4,0,0,4
2019-02-17,29,4,7,2,5
2019-02-24,23,8,6,2,13
2019-03-03,11,2,6,0,4
2019-03-10,15,2,9,0,2
2019-03-17,22,2,7,0,2
2019-03-24,22,4,5,2,0
2019-03-31,24,2,4,2,7
2019-04-07,25,0,2,0,11
2019-04-14,23,4,13,0,4
2019-04-21,14,0,14,2,2
2019-04-28,35,2,11,0,13
2019-05-05,31,4,11,0,13
2019-05-12,21,2,14,0,4
2019-05-19,21,3,19,0,12
2019-05-26,25,2,14,0,9
2019-06-02,34,0,16,5,23
2019-06-09,21,2,9,3,7
2019-06-16,21,2,12,3,16
2019-06-23,28,0,21,5,14
2019-06-30,27,2,24,0,2
2019-07-07,20,5,29,4,9
2019-07-14,28,11,37,4,2
2019-07-21,25,4,38,2,2
2019-07-28,45,21,52,4,17
2019-08-04,23,9,36,6,9
2019-08-11,43,20,40,2,9
2019-08-18,41,5,9,0,9
2019-08-25,25,0,26,2,7
2019-09-01,22,2,8,2,12
2019-09-08,31,4,7,2,13
2019-09-15,22,5,10,2,5
2019-09-22,27,3,2,2,5
2019-09-29,32,0,9,0,8
2019-10-06,32,3,14,2,12
2019-10-13,25,0,10,0,15
2019-10-20,15,7,7,3,5
2019-10-27,22,3,7,0,14
2019-11-03,22,2,3,3,7
2019-11-10,13,2,8,0,2
2019-11-17,13,3,5,2,7
2019-11-24,29,2,8,0,11
2019-12-01,16,3,2,8,5
2019-12-08,10,6,5,0,5
2019-12-15,26,6,5,2,5
2019-12-22,26,3,5,3,7
2019-12-29,23,3,3,3,6
2020-01-05,10,4,4,0,6
2020-01-12,21,4,12,0,0
2020-01-19,28,3,5,0,3
2020-01-26,23,6,6,0,8
2020-02-02,16,7,8,0,1
2020-02-09,12,0,7,3,1
2020-02-16,10,3,14,0,4
2020-02-23,10,8,0,3,3
2020-03-01,8,0,1,4,4
2020-03-08,13,4,5,1,6
2020-03-15,10,0,1,0,6
2020-03-22,18,3,5,1,1
2020-03-29,17,3,4,1,6
2020-04-05,12,0,12,2,4
2020-04-12,17,7,7,0,6
2020-04-19,5,1,2,0,4
2020-04-26,19,4,18,3,14
2020-05-03,19,3,15,0,9
2020-05-10,20,4,7,1,4
2020-05-17,18,2,10,4,7
2020-05-24,14,2,5,4,10
2020-05-31,14,5,6,0,12
2020-06-07,11,0,13,2,5
2020-06-14,100,4,6,0,10
2020-06-21,20,10,6,1,12
2020-06-28,20,7,13,1,5
2020-07-05,32,5,21,5,15
2020-07-12,21,8,28,11,4
2020-07-19,19,5,21,4,10
2020-07-26,22,13,22,1,4
2020-08-02,21,5,25,4,14
2020-08-09,10,4,24,2,5
2020-08-16,18,13,22,3,12
2020-08-23,20,2,7,1,7
2020-08-30,13,2,3,0,3
