카테고리: 모든 카테고리

주,여의도한강공원: (대한민국),일산호수공원: (대한민국),서울숲: (대한민국),광교호수공원: (대한민국),송도센트럴파크: (대한민국)
2018-01-07,2,5,31,2,7
2018-01-14,2,5,38,2,4
2018-01-21,0,0,11,0,9
2018-01-28,5,0,26,2,2
2018-02-04,2,6,27,4,2
2018-02-11,0,8,19,4,2
2018-02-18,0,4,41,4,7
2018-02-25,4,0,30,4,11
2018-03-04,2,4,34,2,6
2018-03-11,7,6,47,0,5
2018-03-18,5,2,43,4,4
2018-03-25,2,4,45,4,7
2018-04-01,9,5,46,4,7
2018-04-08,2,5,29,11,4
2018-04-15,4,9,44,7,4
2018-04-22,2,16,49,4,4
2018-04-29,2,21,57,7,7
2018-05-06,5,15,43,10,7
2018-05-13,5,5,46,3,9
2018-05-20,5,14,58,5,2
2018-05-27,5,5,61,5,12
2018-06-03,2,7,61,7,12
2018-06-10,3,12,39,3,7
2018-06-17,2,5,48,4,4
2018-06-24,4,2,39,2,7
2018-07-01,5,5,43,7,5
2018-07-08,4,4,42,0,5
2018-07-15,4,4,34,2,13
2018-07-22,7,5,42,2,12
2018-07-29,4,5,40,2,14
2018-08-05,7,7,36,2,17
2018-08-12,2,3,43,3,9
2018-08-19,2,0,42,2,10
2018-08-26,0,3,43,5,15
2018-09-02,11,9,49,16,7
2018-09-09,5,5,34,3,3
2018-09-16,0,4,37,7,7
2018-09-23,10,17,56,8,10
2018-09-30,5,12,58,14,11
2018-10-07,11,9,64,7,11
2018-10-14,2,4,43,5,0
2018-10-21,4,5,54,7,7
2018-10-28,2,9,36,2,6
2018-11-04,5,4,48,4,12
2018-11-11,4,4,36,2,9
2018-11-18,2,0,33,2,4
2018-11-25,0,4,29,0,2
2018-12-02,0,2,20,2,4
2018-12-09,0,2,27,7,5
2018-12-16,0,2,40,2,7
2018-12-23,2,2,28,2,12
2018-12-30,0,2,20,4,8
2019-01-06,2,4,25,0,5
2019-01-13,2,4,22,2,16
2019-01-20,0,4,43,4,13
2019-01-27,0,7,38,4,9
2019-02-03,2,6,40,0,12
2019-02-10,0,2,20,3,7
2019-02-17,4,0,18,0,2
2019-02-24,4,2,36,2,11
2019-03-03,4,4,30,4,5
2019-03-10,0,2,18,4,2
2019-03-17,0,4,33,4,5
2019-03-24,2,2,52,10,12
2019-03-31,5,7,42,2,11
2019-04-07,12,16,63,18,9
2019-04-14,5,7,47,11,9
2019-04-21,2,24,52,10,12
2019-04-28,0,18,62,12,18
2019-05-05,4,19,62,11,11
2019-05-12,9,15,53,12,5
2019-05-19,5,5,51,2,24
2019-05-26,7,0,44,0,14
2019-06-02,7,9,32,7,5
2019-06-09,7,5,35,3,13
2019-06-16,2,5,51,12,7
2019-06-23,10,2,44,5,15
2019-06-30,5,2,54,4,9
2019-07-07,9,5,46,5,7
2019-07-14,7,4,33,4,16
2019-07-21,9,6,49,9,7
2019-07-28,4,6,50,11,19
2019-08-04,6,4,43,6,6
2019-08-11,5,5,44,2,18
2019-08-18,7,4,48,12,11
2019-08-25,7,2,59,3,31
2019-09-01,12,5,25,5,23
2019-09-08,9,5,47,14,11
2019-09-15,5,5,44,5,5
2019-09-22,5,13,69,3,8
2019-09-29,10,8,59,12,10
2019-10-06,3,3,54,3,15
2019-10-13,3,13,63,13,13
2019-10-20,5,7,51,2,11
2019-10-27,5,7,85,8,7
2019-11-03,2,10,65,0,10
2019-11-10,3,3,41,3,2
2019-11-17,2,5,33,7,12
2019-11-24,2,3,26,5,5
2019-12-01,2,5,37,6,6
2019-12-08,2,3,24,3,5
2019-12-15,0,2,27,3,2
2019-12-22,2,2,44,8,10
2019-12-29,0,5,45,6,0
2020-01-05,4,4,22,6,3
2020-01-12,1,0,31,1,6
2020-01-19,6,3,24,10,6
2020-01-26,0,5,29,5,8
2020-02-02,3,1,28,1,3
2020-02-09,0,1,34,6,6
2020-02-16,1,1,30,3,8
2020-02-23,3,5,24,3,4
2020-03-01,0,3,54,4,6
2020-03-08,3,0,41,5,6
2020-03-15,5,3,29,5,4
2020-03-22,7,4,33,6,8
2020-03-29,6,10,52,9,5
2020-04-05,7,9,40,16,9
2020-04-12,2,4,50,7,1
2020-04-19,3,4,55,1,6
2020-04-26,3,4,51,11,11
2020-05-03,4,9,52,19,2
2020-05-10,3,8,45,9,5
2020-05-17,6,6,61,6,10
2020-05-24,6,4,62,12,5
2020-05-31,5,6,49,9,8
2020-06-07,5,6,42,12,9
2020-06-14,1,6,45,12,7
2020-06-21,1,6,39,5,5
2020-06-28,7,11,49,10,10
2020-07-05,6,5,38,12,5
2020-07-12,5,10,46,5,7
2020-07-19,4,2,27,7,7
2020-07-26,1,0,48,9,5
2020-08-02,7,1,34,5,4
2020-08-09,5,1,28,6,9
2020-08-16,3,0,51,5,4
2020-08-23,5,1,21,2,7
2020-08-30,2,7,27,7,5
2020-09-06,4,8,25,7,1
2020-09-13,0,6,42,9,10
2020-09-20,6,11,39,9,8
2020-09-27,10,7,39,14,7
2020-10-04,1,8,58,10,9
2020-10-11,5,7,44,7,7
2020-10-18,4,3,58,10,3
2020-10-25,1,7,50,6,8
2020-11-01,5,4,41,5,3
2020-11-08,3,3,49,11,3
2020-11-15,1,4,40,7,5
2020-11-22,3,3,28,8,4
2020-11-29,1,1,22,4,6
2020-12-06,3,5,28,3,9
2020-12-13,0,3,20,3,1
2020-12-20,0,5,22,3,8
2020-12-27,0,1,19,5,10
2021-01-03,1,1,29,5,4
2021-01-10,3,0,16,4,3
2021-01-17,0,1,19,4,4
2021-01-24,1,5,23,4,4
2021-01-31,0,0,28,3,7
2021-02-07,1,3,39,4,7
2021-02-14,4,4,38,12,3
2021-02-21,4,3,48,5,3
2021-02-28,4,4,28,5,3
2021-03-07,7,4,37,2,5
2021-03-14,2,5,32,1,9
2021-03-21,2,6,48,9,8
2021-03-28,8,8,42,15,6
2021-04-04,12,7,59,5,7
2021-04-11,6,4,49,13,5
2021-04-18,6,6,53,6,4
2021-04-25,9,5,43,5,7
2021-05-02,4,5,61,11,9
2021-05-09,6,5,37,9,4
2021-05-16,2,11,50,11,1
2021-05-23,4,7,40,11,8
2021-05-30,4,7,45,12,7
2021-06-06,3,2,27,12,11
2021-06-13,6,12,46,9,6
2021-06-20,6,1,50,10,11
2021-06-27,2,4,51,9,7
2021-07-04,4,0,36,4,7
2021-07-11,2,1,35,5,7
2021-07-18,1,5,23,5,6
2021-07-25,4,1,30,5,7
2021-08-01,5,1,28,7,9
2021-08-08,2,9,14,6,15
2021-08-15,0,7,50,7,2
2021-08-22,1,7,39,11,12
