"통계분류(1)",통계분류(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"통계분류(1)",통계분류(2),자연 및 풍경감상,음식관광,야외 위락 및 스포츠 레포츠 활동,역사 유적지 방문,테마파크 놀이시설 동/식물원 방문,휴식/휴양,온천/스파,쇼핑,지역 문화예술/공연/전시시설 관람,스포츠 경기관람,지역 축제/이벤트 참가,교육/체험 프로그램 참가,종교/성지순례,카지노 경마 경륜 등,시티투어,드라마 촬영지 방문,유흥/오락,가족/친지/친구 방문,회의참가/시찰,교육/훈련/연수,기타,자연 및 풍경감상,음식관광,야외 위락 및 스포츠 레포츠 활동,역사 유적지 방문,테마파크 놀이시설 동/식물원 방문,휴식/휴양,온천/스파,쇼핑,지역 문화예술/공연/전시시설 관람,스포츠 경기관람,지역 축제/이벤트 참가,교육/체험 프로그램 참가,종교/성지순례,카지노 경마 경륜 등,시티투어,드라마 촬영지 방문,유흥/오락,가족/친지/친구 방문,회의참가/시찰,교육/훈련/연수,기타,자연 및 풍경감상,음식관광,야외 위락 및 스포츠 레포츠 활동,역사 유적지 방문,테마파크 놀이시설 동/식물원 방문,휴식/휴양,온천/스파,쇼핑,지역 문화예술/공연/전시시설 관람,스포츠 경기관람,지역 축제/이벤트 참가,교육/체험 프로그램 참가,종교/성지순례,카지노 경마 경륜 등,시티투어,드라마 촬영지 방문,유흥/오락,가족/친지/친구 방문,회의참가/시찰,교육/훈련/연수,기타
"전체",소계,68.2,57,7.4,9.5,7.5,54.7,5.5,6.5,6.1,0.5,8.5,1.5,1.7,0.2,7.8,3.8,6.3,11.4,0.7,0.7,0.2,74.4,51.9,4.8,9.8,8,56.3,3.5,7.7,4.3,0.2,4.8,1.5,2.2,0.1,5.2,4.2,3.2,13.9,0.7,0.7,2.1,78.1,53.9,6.4,8.5,5.5,57.6,2.3,7.8,3.2,0.1,1.5,1.4,2.2,0.1,5.9,3.7,2.5,16.3,1.4,1.1,0.6
"성별",남자,67.5,56.4,9.9,9.1,7.8,55,4.5,5.5,5.4,0.5,8,1.3,1,0.2,7.2,3.7,7,11.4,0.5,0.7,0.2,73.5,51.3,5.9,9.7,7.7,56.3,3,6,4.2,0.2,4.6,1.4,2,0.1,4.8,3.7,3.9,13.5,1,0.9,2.9,77.1,52.6,8.2,8.3,5.2,56.8,1.9,6.9,2.8,0.1,1.4,1.6,1.6,0.1,5.3,3.5,2.8,15.7,2.3,1.7,0.8
"성별",여자,68.8,57.6,4.9,9.8,7.2,54.5,6.5,7.4,6.7,0.5,9,1.6,2.3,0.1,8.4,3.9,5.6,11.5,0.9,0.6,0.2,75.4,52.6,3.8,9.9,8.3,56.2,4.1,9.3,4.5,0.2,5,1.6,2.3,0.1,5.5,4.6,2.4,14.3,0.4,0.6,1.4,79.1,55.1,4.5,8.7,5.8,58.4,2.8,8.7,3.5,0.1,1.7,1.1,2.8,0.2,6.6,3.8,2.1,16.8,0.6,0.4,0.5
"연령",15~19세,52.4,47.6,8.4,7.7,18.6,43.6,3.5,12.7,8.5,0.3,6.7,2.8,0.7,0.3,11.1,4.3,8.4,10.1,0.1,1.8,0.2,64.7,44.2,5.1,8.6,12.6,49.2,1.4,9.6,4.3,0,5.7,3.1,1.1,0.1,5.1,4.4,4.6,15.1,-,1.2,1.8,66.3,51.1,7.4,8.8,9.8,52.3,1.4,12.3,4.4,-,1.8,1.2,2,-,6.1,4.3,2.6,20.8,-,0.8,0.2
"연령",20대,66.2,57.9,9.9,9,10,52.3,2.8,7.7,5.6,0.6,8.3,1.2,0.8,0.1,9.5,5.4,13.2,8.3,0.6,0.9,0.5,70.4,52.1,7.1,9.2,10.8,56.2,1.8,10.2,5.3,0.2,4,1.1,0.8,0.2,6.6,6,5.8,10.1,0.7,0.7,1.7,78.9,56.3,6.7,7.4,7.2,59,1.4,8.7,3.7,0.1,1.2,1.3,1,0.1,8.8,4.4,4.8,10.1,0.9,0.6,0.6
"연령",30대,66.5,56.4,9,8.8,10.8,57.4,4.7,6.8,7.7,0.6,8.1,2.6,1.2,0.3,7.3,3.9,5.1,10.3,0.5,0.8,0,73.6,52.5,5.7,9.8,11.7,57,3.7,7.5,5,0.2,5.2,2,1.3,0.1,5.2,4.2,3,13,0.4,1,1.1,79.5,53.9,6.3,8.4,6.7,60.8,2.6,8.2,3.3,0.1,2,2.1,1.4,0.3,6.7,3.8,2.7,13.8,2.2,1.6,0.5
"연령",40대,71.2,58,7.3,11,7.2,55.3,6.3,6.1,6.5,0.2,8.8,1.6,1.4,0.2,8,3.9,4.6,13.2,1.3,0.5,0.2,76.9,52,4.6,9.6,7.5,57.4,3.6,6.5,4.5,0.2,5.4,2.2,2,0.1,5,3.9,2.2,14.3,0.8,1,2.7,79.4,54.5,5.4,9.6,5.2,58.1,2.2,7.2,3.8,0,1.3,1.6,2.6,0.1,5,3.8,1.4,18.2,1.8,1.3,0.5
"연령",50대,71.9,59.3,6.7,9.1,4.5,56.4,4.9,5.4,4.7,0.8,9,0.7,1.9,0.1,7.2,2.8,5.6,12,0.7,0.3,0.1,77.5,53.6,4.5,10.5,4.7,57.1,3.6,7.8,3.7,0.3,4.7,0.9,2.8,0,5.7,3.5,2.7,14.3,0.6,0.6,2.9,78.1,51.4,8.3,8.8,4.2,55.5,2.2,7.4,2.5,-,1.4,0.9,3.2,0,4.9,2.9,1.6,17.6,1.6,1.2,0.6
