,채널명,조회수
2021-01,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"85,081,740"
2021-02,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"66,270,793"
2021-03,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"73,697,164"
2021-04,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"75,296,671"
2021-05,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"83,486,054"
2021-06,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"78,049,300"
2021-07,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"59,003,796"
2021-08,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"53,589,577"
2021-09,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"42,890,636"
2021-10,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"40,825,430"
2021-11,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"39,683,992"
2021-12,[THE SOY]루퐁이네,"49,541,674"
2022-01,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"51,508,731"
2022-02,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"46,078,152"
2022-03,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"52,175,700"
2022-04,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"44,812,759"
2022-05,KBS동물티비 : 애니멀포유 animal4u,"39,368,949"
2022-06,SBS TV동물농장x애니멀봐 공식 유튜브 채널입니다!,"47,723,877"
