,채널명,조회수
2021-01,계향쓰 GH'S,"70,698,418"
2021-02,계향쓰 GH'S,"68,531,997"
2021-03,계향쓰 GH'S,"61,272,575"
2021-04,계향쓰 GH'S,"93,683,886"
2021-05,계향쓰 GH'S,"99,755,194"
2021-06,계향쓰 GH'S,"79,231,599"
2021-07,계향쓰 GH'S,"77,140,020"
2021-08,탁주 TV,"53,847,260"
2021-09,계향쓰 GH'S,"53,492,439"
2021-10,계향쓰 GH'S,"54,046,401"
2021-11,계향쓰 GH'S,"80,835,380"
2021-12,계향쓰 GH'S,"147,923,168"
2022-01,계향쓰 GH'S,"170,211,500"
2022-02,계향쓰 GH'S,"150,459,418"
2022-03,계향쓰 GH'S,"187,506,273"
2022-04,계향쓰 GH'S,"138,020,335"
2022-05,계향쓰 GH'S,"158,485,879"
2022-06,계향쓰 GH'S,"155,617,122"
