,채널명,조회수
2021-01,BLACKPINK,"602,459,523"
2021-02,BLACKPINK,"486,769,203"
2021-03,BLACKPINK,"730,292,850"
2021-04,HYBE LABELS,"631,260,181"
2021-05,HYBE LABELS,"956,989,989"
2021-06,HYBE LABELS,"701,819,165"
2021-07,BANGTANTV,"891,562,499"
2021-08,BANGTANTV,"598,802,040"
2021-09,BLACKPINK,"820,595,696"
2021-10,BLACKPINK,"696,333,772"
2021-11,BLACKPINK,"596,645,061"
2021-12,BANGTANTV,"509,184,473"
2022-01,BLACKPINK,"459,914,510"
2022-02,BLACKPINK,"397,843,290"
2022-03,BLACKPINK,"378,989,184"
2022-04,HYBE LABELS,"332,826,486"
2022-05,HYBE LABELS,"477,852,535"
2022-06,BANGTANTV,"683,041,687"
