,채널명,조회수
2021-01,MBCNEWS,"134,218,534"
2021-02,MBCNEWS,"125,201,028"
2021-03,MBCNEWS,"235,852,690"
2021-04,MBCNEWS,"214,256,923"
2021-05,MBCNEWS,"237,343,522"
2021-06,MBCNEWS,"269,637,794"
2021-07,MBCNEWS,"237,014,018"
2021-08,MBCNEWS,"212,347,839"
2021-09,MBCNEWS,"188,826,126"
2021-10,MBCNEWS,"204,816,316"
2021-11, YTN,"197,471,853"
2021-12,MBCNEWS,"245,278,558"
2022-01, YTN,"242,461,369"
2022-02, YTN,"321,240,080"
2022-03, YTN,"502,063,619"
2022-04, YTN,"258,775,621"
2022-05,MBCNEWS,"281,849,979"
2022-06,MBCNEWS,"350,778,720"
