,채널명,조회수
2021-01,하빠TV,"865,993"
2021-02,와디의 신발장,"611,927"
2021-03,와디의 신발장,"2,388,161"
2021-04,와디의 신발장,"854,686"
2021-05,와디의 신발장,"935,256"
2021-06,와디의 신발장,"855,559"
2021-07,와디의 신발장,"1,541,025"
2021-08,하성운 HASUNGWOON,"4,899,892"
2021-09,와디의 신발장,"1,087,645"
2021-10,하빠TV,"2,879,337"
2021-11,와디의 신발장,"1,383,107"
2021-12,와디의 신발장,"1,790,391"
2022-01,와디의 신발장,"1,414,080"
2022-02,와디의 신발장,"1,374,637"
2022-03,하빠TV,"2,633,621"
2022-04,하빠TV,"1,389,525"
2022-05,와디의 신발장,"1,105,718"
2022-06,와디의 신발장,"1,249,025"
