,채널명,조회수
2021-01,ShiningStar,"2,549,400"
2021-02,아구이뽀 A924,"3,876,929"
2021-03,아구이뽀 A924,"3,477,273"
2021-04,요극,"3,411,560"
2021-05,홀로라이브KR 번역&자막,"981,984"
2021-06,오리고기 ORIGOGI,"11,869,237"
2021-07,오리고기 ORIGOGI,"14,107,080"
2021-08,오리고기 ORIGOGI,"14,539,309"
2021-09,번역하는 댕댕이,"2,087,741"
2021-10,번역하는 댕댕이,"3,194,764"
2021-11,징버거 JINGBURGER,"2,076,786"
2021-12,아이네 INE,"2,864,244"
2022-01,아이네 INE,"7,077,305"
2022-02,아이네 INE,"9,187,810"
2022-03,케이맨 King Kman,"18,940,037"
2022-04,아이네 INE,"7,813,557"
2022-05,아이네 INE,"8,878,685"
2022-06,비챤 VIichan,"10,814,488"
